,steps,reward
0,118,-411.0804936192266
1,70,-115.82653462568324
2,84,-109.69811596238559
3,62,-149.32588549184996
4,104,-145.6324040133179
5,70,-115.96339209610852
6,79,-158.5424828000004
7,102,-4.308624247042772
8,128,-127.10555337358394
9,76,-110.08553024461472
10,99,-360.8530226684834
11,105,-347.34251329566985
12,84,-102.23890020452039
13,117,-122.37835103490448
14,78,-117.64404302869187
15,68,-74.61534828711318
16,148,-232.81868270893753
17,73,-160.66823478469632
18,99,-135.05776884211997
19,82,-257.9153210624806
20,105,-137.3597653986036
21,63,-52.45020139200609
22,450,112.57693456425427
23,88,-426.28219966664335
24,107,-176.2051639180536
25,77,-123.48202763617965
26,104,-456.5296723341873
27,100,-113.56340041977073
28,115,-510.8307999428684
29,87,-58.68547185007484
30,89,-113.36694256405998
31,71,-78.72710898352433
32,99,-448.2818360345889
33,84,-312.4987376112932
34,104,-265.9296152299629
35,109,-124.82658353206028
36,125,-124.00215878939119
37,103,-134.06692936562834
38,85,-127.51581880915388
39,74,-81.75471265298286
40,80,-123.61977225585335
41,104,-296.92935805219406
42,86,-106.13808280355015
43,81,-6.388599559682973
44,91,29.107847304860144
45,76,-92.02768387597902
46,100,-405.4820402847892
47,80,-134.2172087872007
48,108,-115.01606352581756
49,106,-320.2867062875865
50,69,-311.58431379169775
51,112,-107.92012969029491
52,85,-245.74391728558206
53,94,-263.0175277473396
54,108,-372.3812032445817
55,87,-133.97692445544035
56,93,-192.39349244531826
57,76,-77.50458841151769
58,69,-61.24647696241514
59,66,-42.928571313030965
60,63,-86.23325444105154
61,146,-147.6387588780766
62,77,-170.22658555022548
63,87,-97.15104166981376
64,115,-387.7906027707551
65,93,-239.8936740254108
66,124,-153.11698813427637
67,76,-147.92176800263542
68,63,-196.54285770938532
69,119,-93.48333876390922
70,103,-237.3159986345693
71,94,-103.1568113135979
72,72,-32.05310572514817
73,78,-95.7657404224722
74,80,-48.11241609406652
75,60,-76.99423044625009
76,90,-150.74832069539835
77,99,-199.45685014463234
78,114,35.837241229162345
79,75,-141.00859241539206
80,58,-68.57393930991913
81,109,-80.45077331361459
82,88,-128.35000864875727
83,67,-110.39388229402644
84,70,-96.45161914415944
85,83,-574.5747700594
86,119,-380.5979671823745
87,91,-119.30360984542621
88,80,-182.24543126002084
89,130,-209.76661198334594
90,67,-59.264823433652495
91,100,-107.06539858564896
92,92,-121.68745391131205
93,56,-73.5268666829812
94,115,-229.4457131343155
95,60,-51.251940458557726
96,106,-334.1840356022352
97,117,-174.10545472164256
98,93,-245.7984430316528
99,63,-108.57760242259701
100,68,-134.78633622048991
101,108,-165.46855227733445
102,94,-127.17523839896513
103,117,-150.56116048452412
104,71,-113.59299822776461
105,88,-80.75283523983316
106,82,-127.75624940769566
107,84,-83.64761111611985
108,109,-190.0417288771959
109,112,-262.5476284258542
110,70,-102.35581828065281
111,83,-205.75933748461333
112,121,-357.82346619233675
113,78,-99.21498874325358
114,103,-136.01842000298925
115,72,-112.73732281447809
116,116,-188.37623903784066
117,106,-81.1920588382891
118,118,-136.96642112996034
119,107,-140.10668856256387
120,78,-244.86176397938337
121,75,-98.4111953858012
122,106,-390.861595111125
123,121,-119.61791723204567
124,69,-180.24066270281276
125,69,-109.423995658107
126,61,-93.24939353079856
127,107,-213.43281666611256
128,78,-127.29138918903162
129,101,-123.99754351358837
130,72,-113.01631832833455
131,56,-73.53853745461316
132,122,-93.88390380046442
133,66,-61.919080229542416
134,75,-206.0304214825221
135,117,-292.73908406912665
136,101,-129.4855929759231
137,102,-205.55266756381076
138,70,-102.0470455182391
139,77,-189.79852771390128
140,67,-91.80246177169394
141,84,-63.75916296360337
142,102,-264.03045250551406
143,74,-46.59409737522938
144,78,-95.316688729405
145,61,-139.93642489790682
146,79,-204.86306257469903
147,61,-104.98460582381563
148,67,-178.78067054882035
149,85,-114.18207244094381
150,77,-81.03132921066457
151,98,-231.1511072785436
152,81,-130.2493115355896
153,104,-117.37618146620777
154,72,-69.4241338823283
155,102,-193.61658151815868
156,82,-116.79862293294931
157,94,-126.32197096251312
158,84,-107.44440431531812
159,105,0.6780638682799065
160,119,-79.65588411959911
161,108,-134.02193521072337
162,79,-125.87422656401058
163,118,-104.62493576243901
164,98,-61.86810817073206
165,98,-128.72619242593524
166,103,-110.1358954957375
167,83,-105.73382111984705
168,99,-415.5288505867709
169,62,-97.96475267158635
170,69,-76.38988279580339
171,85,-117.37769005073336
172,67,-65.57404028896637
173,65,-62.28700875197795
174,99,-178.39338306639195
175,59,-50.937634256157594
176,71,-211.25252804712426
177,68,-93.36328616677388
178,64,-133.7758412093372
179,102,-150.18683406038286
180,87,-108.47228406592056
181,90,-128.15555927646983
182,79,-151.7922327455615
183,77,-126.56514837767529
184,59,-79.56326529850719
185,91,-215.05131107920545
186,140,-356.1025379041431
187,80,-93.94242113480344
188,70,-138.4399144897203
189,85,-114.68375475942207
190,68,-112.84859720255317
191,96,-116.27634474348797
192,105,-104.80608317187186
193,103,-79.89508233811226
194,112,-20.091804860304777
195,85,-148.65779543315858
196,69,-60.55280744148047
197,104,-170.802928472238
198,69,-140.912445686983
199,84,-266.2472720882523
200,117,-294.22047789799046
201,62,-179.48711090981885
202,65,-182.02288704742455
203,71,-269.98080962990093
204,74,-120.49245575910292
205,125,-74.79448027137701
206,98,-156.8271229783063
207,111,-214.01399312058015
208,117,-218.07013930748013
209,85,-128.7091401472621
210,107,-144.82132463052858
211,86,-115.45029048900288
212,68,-52.88718453474923
213,121,-156.3968640490745
214,122,-235.61146980076109
215,121,-134.05464164351253
216,60,-43.9484874006143
217,87,-417.81481861898374
218,73,-133.14274399744096
219,60,-118.80711796499627
220,107,-150.33198400603865
221,76,-270.577481020256
222,61,-55.75578014852111
